id,family_class,coeffs,R_struct,lambda_kind,theta_inf,theta_0,theta_star,trace_invariant,painleve_class,all_rational_4tuple
A023,A,"a:-8,-3,0;b:-6,-2",-2/9,rational-resonance 1/2,1/2,0,-1/3,5/18,Generic,True
A024,A,"a:-32,6,0;b:-12,1",-2/9,rational-resonance 1/2,1/2,0,1/12,5/18,Generic,True
A025,A,"a:-2,1,4;b:3,6",-2/9,integer-resonance k=2,1/2,1/9,-2,7/18,PVI-rigid-Q,True
A026,A,"a:-18,1,-5;b:9,3",-2/9,integer-resonance k=2,1/2,-5/9,-1/3,-5/18,PVI-rigid-Q,True
A027,A,"a:-18,4,4;b:-9,-5",-2/9,rational-resonance 1/2,1/2,4/25,-5/9,197/450,Generic,True
A028,A,"a:-18,5,2;b:-9,-2",-2/9,rational-resonance 1/2,1/2,1/2,-2/9,7/9,Generic,True
A029,A,"a:-2,-2,5;b:3,6",-2/9,integer-resonance k=2,1/2,5/36,-2,5/12,PVI-rigid-Q,True
A030,A,"a:-50,-3,-5;b:-15,4",-2/9,rational-resonance 1/2,1/2,-5/16,4/15,-5/144,Generic,True
A031,A,"a:-2,-4,-5;b:-3,-5",-2/9,rational-resonance 1/2,1/2,-1/5,-5/3,7/90,Generic,True
A032,A,"a:-2,-5,2;b:3,5",-2/9,integer-resonance k=2,1/2,2/25,-5/3,161/450,PVI-rigid-Q,True
A033,A,"a:-18,-6,-4;b:-9,-5",-2/9,rational-resonance 1/2,1/2,-4/25,-5/9,53/450,Generic,True
A034,A,"a:-50,-1,-6;b:-15,3",-2/9,rational-resonance 1/2,1/2,-2/3,1/5,-7/18,Generic,True
A035,A,"a:-18,-1,6;b:-9,6",-2/9,rational-resonance 1/2,1/2,1/6,2/3,4/9,Generic,True
A036,A,"a:-2,-2,-4;b:3,-2",-2/9,integer-resonance k=2,1/2,-1,2/3,-13/18,PVI-Hitchin-cand,True
A037,A,"a:-8,-3,5;b:6,2",-2/9,integer-resonance k=2,1/2,5/4,-1/3,55/36,PVI-Schwarz-cand,True
A038,A,"a:-18,-3,4;b:-9,-1",-2/9,rational-resonance 1/2,1/2,4,-1/9,77/18,Generic,True
A039,A,"a:-18,-6,-6;b:-9,-1",-2/9,rational-resonance 1/2,1/2,-6,-1/9,-103/18,Generic,True
