n,a_n
14,370817.9384791303641831888169206627267946811097371473319983414920752908053526385305815603772248376960368159442590136652021096760532366952754288478752327531196153472638924315860968125752243102830622159727527607880818908623601963051720037715737657663035
15,2264203.010558150076553636112449721502065364586708323766377123492532740882211580566373847756963561221470550975713926954592548456053908534161945311246389393149512959060964467316210747687089960133795567548474898015408082757192579774304873814982904431213
16,14799000.28931306667451018501141624015074148741451681779901692410832059738547792481790841803421236750213200498392935293241107896288094447321449435079123565331790658285844078296137113534313522887516953447611160151414016646362963227829166636783751849748
17,103098029.8550976084126636648230622222788252031786389265589182239761196713284029867082192121838337320808486550706902480479718930764991604845429575271417834708414067005993947122340341556098244444111494844500540119943047318319858705409593504998611033104
18,762650820.8527869658231076154591548624615892166860064058502789552070397499970846661877867556791076281553003723603169384576290176374193525753741214965573072891623373985276170967738974762527773883703186467189268128757501486622492088409923346705355602652
19,5970313138.41305485104257598560426094482720768110491555146620717937035898022539538991543508698154826428044267116628493921456472451371262470678630290675672253131448682411353252489477291312348070703023874991393843179642504475731637583763170124003069872
20,49312484246.12518963825144314445560338798153894332791326030321264928195743810390995693705961606750388560009357570609084733890391611462306879203865833912925948375137599871468774290313202038855893335686152011632527614156028789609229690605927733410130261
21,428576573080.8453782471864018724172002476092174812955580983852914902208989206053921706971605562926649997046550167726474818430461937009937986770236517645010615298863434722116132397039030029411018037137518513255101072107034669869572487526898906266104074
22,3909736580913.490613180905380356594366300342428196078348896762687363588155187121726863404360315355237269719912062142275025786549089439627173178090896755014302017685851969029205732830136664986546107829785938689428683545171652119180243023776857770678688
23,37354847219666.34377697801125302498109547057960902265910644123301902216241297042372447337962285271934385695762972129542975512194328851229464887897440078729581855871887571240078720380929360192570279511971369367173188670843094457462604944552625396402919
24,373030370387404.8794174818478733802075285968559260741585298505528695096559988975046465492386952175779191990909051516875594712861230363251975671001024748385268861292133036940165617401645228554812799084434039289288825705282046514895304211859442605403329
25,3886247756155555.995273943487470755781207750903328299480506608481572527523677831027506068190109574453705389520371767838622829401589872911893174942675099620881818950069696917509376053308768371987185369874578166053623177759969682818383491128732959198052
26,42165981970086704.69419031866985974416179682626636172988461283712979575540008315977650085662732760668729156062336444088386439037227283570825805071997938591386206121730655456686770526215499740905996398098480940180223273364238070229181083000281772751118
27,475722098446048822.3217115563261286701365264259121641918367052692805247611584432585995739948822047545467521960485851721719898035303966902938183181657924295557803200438718265069105035294452049317813711756665456132693451062326638398930755180619107983759
28,5572741353968197894.946608159732294374374957492626070682238470038533582210328963102805150933757547594490121166866618193329591910715294747100048785001651148098887870988363157136195799835328191164357219942419382201822292295821951440143714938393994946358
