family_id,alpha_3,alpha_2,alpha_1,alpha_0,j_invariant,log_abs_j,tau_re,tau_im,branch,newton_iters,newton_residual,j_csv_vs_recomputed_relerr,abs_E4,log_abs_E4,abs_E6,log_abs_E6,abs_Delta,log_abs_Delta_petersson_w6,log_abs_Delta_petersson_w12,log_eta_norm,log_imtau,log_abs_E4_cube,log_abs_j_minus_1728,delta_R11_free,A_stderr_R11,delta_R13_free,A_stderr_R13,alpha_fixedA_R13,beta_fixedA_R13,gamma_fixedA_R13
31,1,-3,3,1,0.0,0.0,0.5,0.8660254037844386,rho,0,0.0,3.0116454574113063e-44,5.250128270847459e-16,-35.183108979057295,2.881541100790946,1.0583252554718265,0.004805138377052951,-6.2011156557756895,-12.402231311551379,-0.29434007804712636,-0.14384103622589045,-105.54932693717188,7.454719949364001,-0.00011751778785118461,8.259359459283807e-06,-3.603754005876425e-05,1.8543414849101152e-05,5.9999543852601525,-0.009452828671434599,-10.261572890096359
32,1,-3,3,2,0.0,0.0,0.5,0.8660254037844386,rho,0,0.0,3.0116454574113063e-44,5.250128270847459e-16,-35.183108979057295,2.881541100790946,1.0583252554718265,0.004805138377052951,-6.2011156557756895,-12.402231311551379,-0.29434007804712636,-0.14384103622589045,-105.54932693717188,7.454719949364001,0.0004887816589080884,7.73454999199543e-05,0.0002519162587182322,0.000141019599708342,5.999931710711602,-0.011247764232261481,-11.826564866516785
33,1,-3,3,3,0.0,0.0,0.5,0.8660254037844386,rho,0,0.0,3.0116454574113063e-44,5.250128270847459e-16,-35.183108979057295,2.881541100790946,1.0583252554718265,0.004805138377052951,-6.2011156557756895,-12.402231311551379,-0.29434007804712636,-0.14384103622589045,-105.54932693717188,7.454719949364001,0.0010043067175153908,0.00012398245511859002,0.002851595538770013,0.0012970685033773693,5.999680358887421,-0.03409127768978282,-13.171047021741712
34,1,-2,-3,-3,-1083.684007707129,6.989043986420502,0.5,1.1857478763602947,vertical_half,7,2.554335206073203e-151,2.7845019004527715e-16,0.8612207156750699,-0.14940445935128582,1.2873707124972855,0.2526019310357452,0.0005894415399642588,-6.4140928429134005,-12.828185685826801,-0.22466044475311087,0.17037369480645673,-0.44821337805385747,7.941538873823632,-0.021881556836640392,0.0013842353806745027,-0.04019025287408606,0.017057649287277998,6.002805024520071,2.146494422116483,-5.274216754936812
35,1,-2,-3,-2,-2305.0491803278687,7.743291027716879,0.5,1.273480862586469,vertical_half,7,9.84110392643818e-179,2.1756688408467715e-15,0.9198530388839099,-0.0835413620424748,1.166955599394264,0.15439830578907382,0.00033765652489437713,-6.542957450244115,-13.08591490048823,-0.21218473011624311,0.2417539879090469,-0.2506240861274244,8.302277989276543,-0.021392249809464303,0.0013402427428201137,0.011324317258643468,0.005967754521982556,5.997714883194592,1.6782613957955426,-5.780945332983854
36,1,-2,-3,-1,-24453.565217391304,10.104572193931391,0.5,1.612907030394356,vertical_half,6,5.4382258601572186e-176,4.7623387801767595e-15,0.9904757313140671,-0.009569914593401976,1.0199819079766004,0.019784889861029574,3.973647426963311e-05,-7.265012086006912,-14.530024172013825,-0.18319929697077506,0.4780381597847185,-0.028709743780205927,10.172810824437288,-0.02090326101790474,0.001296310809727639,-0.0025704930376519997,0.00025387292688779583,5.999095076180322,1.8055896468723742,-3.6256170356917496
37,1,-2,-3,1,2188.4513618677042,7.691406271730133,0.0,1.1382711465943158,imag,7,2.941345332447957e-127,2.0779413187340208e-16,1.1893255280798147,0.1733863633149583,0.5949418816620254,-0.5192915560862508,0.0007687149433543199,-6.393726902683501,-12.787453805367003,-0.2340276443059552,0.12951057322342935,0.5201590899448749,6.132207229851577,-0.011837684420048511,0.0005424212445601645,-0.0020316996086799932,4.535685512001471e-05,5.999053198697242,1.8023120857030155,-1.9082485798198117
38,1,-2,-3,2,1779.8481012658228,7.484844991199741,0.0,1.046465485602596,imag,9,1.4423634285482128e-162,0.0,1.3389270994434115,0.2918686211965929,0.2644297753075313,-1.33017956271758,0.0013486145945962235,-6.336167750271083,-12.672335500542166,-0.25265241920227854,0.04541828156939978,0.8756058635897788,3.9483183142523233,-0.019438199984477933,0.0011648896255714624,-0.0025466106484808293,0.00026119096863081603,5.999109844091885,1.807814528045248,-2.413026348304771
39,1,-2,-3,3,1752.1246105919004,7.4691549665887695,0.0,1.031570444069104,imag,9,4.122604315987654e-130,0.0,1.372635152254455,0.3167323611414855,0.1887036654134594,-1.667577402241653,0.0014760475906885912,-6.331893246058771,-12.663786492117541,-0.2560582992419934,0.03108234404182154,0.9501970834244565,3.1832325058263993,-0.018950480067928765,0.0011212117564644933,-0.001924782497983557,4.123309335592955e-05,5.999054042546236,1.802966802170003,-1.8284406206512092
40,1,-2,-2,-2,-955.223880597015,6.86299207035935,0.5,1.1725296569055468,vertical_half,7,1.1971954692752232e-146,3.040352755264301e-16,0.8492710036326111,-0.16337694026892718,1.3117326064060486,0.27134886365766253,0.0006412593608573447,-6.397095475230683,-12.794190950461365,-0.22675476611265588,0.15916351475449023,-0.49013082080678155,7.89477429107295,-0.01694363293853307,0.0010600893494541288,-0.004875610646103645,0.0014642794959217323,5.999561041166277,1.8715609218761844,-3.4883954699337174
