n,a_n_real,a_n_imag
175,3.7231504605475717340920853476150630055290898555699076946073e+237,0.0
176,-2.3035905167980517445624826466543443583293954317665550281404e+239,0.0
177,1.43342365753547892478783996736104625651814777681548413276422e+241,0.0
178,-8.97024748203699519685372638354463340150658340058012727293144e+242,0.0
179,5.64522156012096102915938749960689683446594281445404807304623e+244,0.0
180,-3.57265072894517809149860851224776161161842743984924553562883e+246,0.0
181,2.27362888634422571392280452716329479326128826688390438323781e+248,0.0
182,-1.4549720173939542050455911368993099738471567059332634711219e+250,0.0
183,9.36229868282101401987864914003492895167304282771105597308441e+251,0.0
184,-6.05745255774068715202565421619901744822826002698489733459067e+253,0.0
185,3.9406173085706031816835439350707348599322559324015267274396e+255,0.0
186,-2.57746266004402614567501091948813070821041901133794774171553e+257,0.0
187,1.69496875784386032087412367659698398331542733846866695012874e+259,0.0
188,-1.1206233134123730987999979796783196418616852893915899869548e+261,0.0
189,7.44858589541216663700746900027067578202369262216428831535663e+262,0.0
190,-4.97727849172005199351265244703473455793793763605224998280419e+264,0.0
191,3.34350385779771850229901181697891165573296766215432117697006e+266,0.0
192,-2.25783115885998337673807817291948911206422125561196561399871e+268,0.0
193,1.53267099080298405313697050470388885725460399384440207777649e+270,0.0
194,-1.04583331916836463313109831732297295898018895241925575269873e+272,0.0
195,7.17332342435432964889770972173135888760127444041382077219771e+273,0.0
196,-4.94551147395077993785361472508518568108332170843031611597286e+275,0.0
197,3.42707380267225539263124307207694944641035337561918157274752e+277,0.0
198,-2.3869638269567722412409920833944676146556915574026388185391e+279,0.0
199,1.67096427468145581560472576428332222670469476892406573036883e+281,0.0
200,-1.1756454328793315870415236449582850219619987403535646094318e+283,0.0
201,8.31308957155938631583287790176011061686417990080417698863604e+284,0.0
202,-5.90764791492820893673718421165770755168520081841327012744712e+286,0.0
203,4.21912162064441173216769898952359860960726084769761378388805e+288,0.0
204,-3.02812736300342740485621151884648192330337423353886987545075e+290,0.0
205,2.18403877671798135302153135288403205727857179657502881388553e+292,0.0
206,-1.5829610562264899195692220656483571104657354695218448264242e+294,0.0
207,1.15290483570378672886361476631117088380856204878390321229414e+296,0.0
208,-8.43761687497906898336788052686832318128734252676626355728791e+297,0.0
209,6.20496187828004403697519098912876425518673787968574569790777e+299,0.0
210,-4.58502144087401378566174285526797220364116959009335554141954e+301,0.0
211,3.40421216287239892395671555498972479286932907811847513210035e+303,0.0
212,-2.5395397463190678779513240623193022256414243199856554181425e+305,0.0
213,1.90347335584744823713120636844529046892464515363302448112598e+307,0.0
214,-1.43344924224004018216699145368246816463204015607452676149518e+309,0.0
215,1.08455603146413926692961944412140120202735776185370235867617e+311,0.0
216,-8.2441586841301001654573182785387938345939741431944347975434e+312,0.0
217,6.2958731631925296018823537285835136320121522303880675788414e+314,0.0
218,-4.83027179101336601463624778672134519091149154784957631964398e+316,0.0
219,3.72292180644344577826749869849949403006119022886674239601246e+318,0.0
220,-2.88259660391674497435309542308613234105070141759515159528219e+320,0.0
221,2.24213821673100427811456422250665646000574501728402913112524e+322,0.0
222,-1.75190468263602405387420176886633636581807681899599810317813e+324,0.0
