n,a_n_real,a_n_imag
10,588.240069803471473328790626696354266058122565688883693575936496715526551504069977544414772746287241897720568093626241307222629818606408786181131675228658829337728898975387412915558206810471994619237797179271513634867350008626390630028026706858527753782470163771308636674804750649598390730636320259743609457052206849572367842621226148394222357393675367000210952901333197662853062157459814136149599656796871655582961375567506938117024771476338182197149,0
11,2583.44241090960874276787331920331731912092924200294603876732613705315003688514186101593833627346347700909620563135936776393072030032479021344413220633585853107043719996339957749751848330632658591200798096628415812886172197201060039493814939960471296550674490462957549056424503172055862640875646908224568896446120562767132717251202689219114795505544318792247673546303985848508510883685752664922810695743645577419427640217901749792126420767624105846277,0
12,12449.6765231668148349615613514365289844841531153677500521052611251738525765419348507854472522518540887773577248374517321000714425761470991727544088436676931425104413733084611436404315151910535569016034955230832687667736758573849306836098123512742183338903150258070908927635070250390502880068838752844004592863727443755066174155917009220545036151089735703096487717022102623766326976177374954583433898298195811152362892999179045245935402359501837397832,0
13,65327.0457762956291079538359673142738009697410201484798243471938968429234500768464350471984007529685657905159616043178863817061054037950041826708497173100127700083063020220970206527769620677657690396728148156957823859075495337759630442268550304893381264464637299658919924251020731592606684262460456771048402091970764848289195308562919313883562394442389110949439644668919538514148092387464756819654507574295497767417179828358521384596167289458336216376,0
14,370817.938479130364183188816920662726794681109737147331998341492075290805352638530581560377224837696036815944259013665202109676053236695275428847875232753119615347263892431586096812575224310283062215972752760788081890862360196305172003771573765766303470673296492377355317753982856608512486626258823629108083985986315186910075713772125931852425420921284184210677439834857147221984258852200564149578401537652819791688750411673486434901315126426314251964,0
15,2264203.01055815007655363611244972150206536458670832376637712349253274088221158056637384775696356122147055097571392695459254845605390853416194531124638939314951295906096446731621074768708996013379556754847489801540808275719257977430487381498290443121298023877325952280216192437414830902462139967924860713332806472638963592891782964981030293862751911384973951957772255288248263189622984670535481915519625991291656864782763111203494102547371765600503966,0
16,14799000.2893130666745101850114162401507414874145168177990169241083205973854779248179084180342123675021320049839293529324110789628809444732144943507912356533179065828584407829613711353431352288751695344761116015141401664636296322782916663678375184974766636401425139579036620853085427482648320340586142032574925019598167222770611123686682410592495612146011340492824013993593252759169245900853855080419181838753934716330752215793389048428350286248452290,0
17,103098029.855097608412663664823062222278825203178638926558918223976119671328402986708219212183833732080848655070690248047971893076499160484542957527141783470841406700599394712234034155609824444411149484450054011994304731831985870540959350499861103310362554694234646355422336746299027258258411997938691435042692460736372389288377673738628854627124424124343700932684026980192303258610131487766879389617498062512344912538864174047432746603387396825522325,0
18,762650820.852786965823107615459154862461589216686006405850278955207039749997084666187786755679107628155300372360316938457629017637419352575374121496557307289162337398527617096773897476252777388370318646718926812875750148662249208840992334670535560265186045277301819113788450360063229299773683241511756393907268273606843887677547477618039272554457782656943874627274021793674588465961167293112800020278197181597051987333719559509033400733568221171974104,0
19,5970313138.41305485104257598560426094482720768110491555146620717937035898022539538991543508698154826428044267116628493921456472451371262470678630290675672253131448682411353252489477291312348070703023874991393843179642504475731637583763170124003069872032252791477038441293644182223021689073463385673492985023811642087398188786681952153552085581974603489130260785600727846463125988773242435956197853127915563760152740107510930827868775982312913990506349,0
20,49312484246.1251896382514431444556033879815389433279132603032126492819574381039099569370596160675038856000935757060908473389039161146230687920386583391292594837513759987146877429031320203885589333568615201163252761415602878960922969060592773341013026070651411205966708645677365637814743832605911024956495165836841347763759697913332754629167412479408797231678046079191643359975033491518777032926338901025070061187930526728784252526422890928803881415301,0
21,428576573080.845378247186401872417200247609217481295558098385291490220898920605392170697160556292664999704655016772647481843046193700993798677023651764501061529886343472211613239703903002941101803713751851325510107210703466986957248752689890626610407439038241777971237558539802958095393821981551946966099128986427681104445865601056616760544777020522070397375907863198574540255774224638258276866792028349090118690662164921272081638549935626973402350077,0
22,3909736580913.49061318090538035659436630034242819607834889676268736358815518712172686340436031535523726971991206214227502578654908943962717317809089675501430201768585196902920573283013666498654610782978593868942868354517165211918024302377685777067868799058557896911448623726173198541783636502712510716708088915678893463438114385247256099222159114113228839632265728967580741557218653337329995384516501000510102298456035472193457226621241560453220769449,0
