idx,label,source,deg_a,deg_b,a_str,b_str,a_top,b_top,R_struct,disc_a,disc_a_neg,disc_a_psq,BT_disc,lam_ratio,int_resonance,stokes_idx,conv_slope,r_final_log10,finite_termination
215,T0,F24_Rat_finite_termination,2,2,"-4,3,1","-2,1,1",-4,-2,-1.0,25,0,1,-12,1.0,0,-1,0.0,-1000000000.0,1
216,T1,irr_482,0,2,1,"2,6,7",1,2,0.25,0,0,0,8,5.828427124746188,0,1,0.0,-1000000000.0,1
217,T0,F24_Rat_finite_termination,2,2,"0,-2,4","-2,-1,2",0,-2,0.0,4,0,1,4,0.0,0,0,0.0,-1000000000.0,1
218,T0,F24_Rat_finite_termination,2,2,"2,2,-4","4,-2,3",2,4,0.125,36,0,1,24,9.898979485566361,0,1,0.0,-1000000000.0,1
219,T1,irr_482,0,2,1,"1,-3,5",1,1,1.0,0,0,0,5,2.618033988749895,0,1,0.0,-1000000000.0,1
220,T0,F24_Rat_finite_termination,2,2,"-2,3,2","-4,0,-4",-2,-4,-0.125,25,0,1,8,0.17157287525380988,0,1,0.0,-1000000000.0,1
221,T1,irr_482,0,2,1,"1,4,1",1,1,1.0,0,0,0,5,2.618033988749895,0,1,0.0,-1000000000.0,1
222,T0,F24_Rat_finite_termination,2,2,"0,-1,3","4,0,-1",0,4,0.0,1,0,1,16,1000000000.0,0,0,0.0,-1000000000.0,1
223,T0,F24_Rat_finite_termination,2,2,"-3,3,0","-2,4,3",-3,-2,-0.75,9,0,1,-8,1.0,0,-1,0.0,-1000000000.0,1
224,T1,irr_482,0,2,1,"5,-6,4",1,5,0.04,0,0,0,29,26.96291201783628,0,1,0.0,-1000000000.0,1
225,T0,F24_Rat_finite_termination,2,2,"1,2,-3","2,3,3",1,2,0.25,16,0,1,8,5.828427124746188,0,1,0.0,-1000000000.0,1
226,T0,F24_Rat_finite_termination,2,2,"-2,4,0","1,-2,3",-2,1,-2.0,16,0,1,-7,1.0,0,-1,0.0,-1000000000.0,1
227,T1,irr_482,0,2,1,"5,6,2",1,5,0.04,0,0,0,29,26.96291201783628,0,1,0.0,-1000000000.0,1
228,T0,F24_Rat_finite_termination,2,2,"1,-2,0","3,-2,-3",1,3,0.1111111111111111,4,0,1,13,10.908326913195987,0,1,0.0,-1000000000.0,1
229,T0,F24_Rat_finite_termination,2,2,"-2,3,2","1,-2,3",-2,1,-2.0,25,0,1,-7,1.0,0,-1,0.0,-1000000000.0,1
230,T1,irr_482,0,2,1,"3,3,3",1,3,0.1111111111111111,0,0,0,13,10.908326913195987,0,1,0.0,-1000000000.0,1
231,T1,irr_482,0,2,1,"2,4,4",1,2,0.25,0,0,0,8,5.828427124746188,0,1,0.0,-1000000000.0,1
232,T1,irr_482,0,2,1,"1,5,6",1,1,1.0,0,0,0,5,2.618033988749895,0,1,0.0,-1000000000.0,1
233,T0,F24_Rat_finite_termination,2,2,"-2,1,1","-3,-4,2",-2,-3,-0.2222222222222222,9,0,1,1,0.5,0,0,0.0,-1000000000.0,1
234,T0,F24_Rat_finite_termination,2,2,"1,-1,0","-4,4,-3",1,-4,0.0625,1,0,1,20,0.05572809000084124,0,1,0.0,-1000000000.0,1
235,T1,irr_482,0,2,1,"2,-2,7",1,2,0.25,0,0,0,8,5.828427124746188,0,1,0.0,-1000000000.0,1
236,T0,F24_Rat_finite_termination,2,2,"0,-1,1","-2,-3,-2",0,-2,0.0,1,0,1,4,0.0,0,0,0.0,-1000000000.0,1
237,T1,irr_482,0,2,1,"3,4,6",1,3,0.1111111111111111,0,0,0,13,10.908326913195987,0,1,0.0,-1000000000.0,1
238,T1,irr_482,0,2,1,"5,6,3",1,5,0.04,0,0,0,29,26.96291201783628,0,1,0.0,-1000000000.0,1
239,T0,F24_Rat_finite_termination,2,2,"-1,1,0","1,2,-2",-1,1,-1.0,1,0,1,-3,1.0,0,-1,0.0,-1000000000.0,1
240,T0,F24_Rat_finite_termination,2,2,"-1,4,0","-4,-3,-3",-1,-4,-0.0625,16,0,1,12,0.07179676972449085,0,1,0.0,-1000000000.0,1
241,T0,F24_Rat_finite_termination,2,2,"0,4,-4","4,1,-4",0,4,0.0,16,0,1,16,1000000000.0,0,0,0.0,-1000000000.0,1
242,T0,F24_Rat_finite_termination,2,2,"1,-4,3","4,0,-2",1,4,0.0625,4,0,1,20,17.944271909999152,0,1,0.0,-1000000000.0,1
243,T0,F24_Rat_finite_termination,2,2,"0,-3,3","4,4,-3",0,4,0.0,9,0,1,16,1000000000.0,0,0,0.0,-1000000000.0,1
244,T1,irr_482,0,2,1,"3,0,7",1,3,0.1111111111111111,0,0,0,13,10.908326913195987,0,1,0.0,-1000000000.0,1
245,T0,F24_Rat_finite_termination,2,2,"3,-4,-4","2,1,3",3,2,0.75,64,0,1,16,3.0,1,0,0.0,-1000000000.0,1
246,T0,F24_Rat_finite_termination,2,2,"0,-3,3","-2,0,-4",0,-2,0.0,9,0,1,4,0.0,0,0,0.0,-1000000000.0,1
247,T1,irr_482,0,2,1,"3,1,2",1,3,0.1111111111111111,0,0,0,13,10.908326913195987,0,1,0.0,-1000000000.0,1
248,T0,F24_Rat_finite_termination,2,2,"0,-3,3","-2,-3,1",0,-2,0.0,9,0,1,4,0.0,0,0,0.0,-1000000000.0,1
249,T0,F24_Rat_finite_termination,2,2,"-2,-2,4","-1,-1,-3",-2,-1,-2.0,36,0,1,-7,1.0,0,-1,0.0,-1000000000.0,1
250,T0,F24_Rat_finite_termination,2,2,"-2,1,1","2,-2,3",-2,2,-0.5,9,0,1,-4,1.0,0,-1,0.0,-1000000000.0,1
251,T0,F24_Rat_finite_termination,2,2,"2,-3,1","1,3,-3",2,1,2.0,1,0,1,9,2.0,1,0,0.0,-1000000000.0,1
252,T0,F24_Rat_finite_termination,2,2,"3,-2,-1","2,3,1",3,2,0.75,16,0,1,16,3.0,1,0,0.0,-1000000000.0,1
