family_id_str,family_id,degree,A_fit,A_stderr,delta,j_invariant,log_abs_j,sgn_j,is_j_zero,is_j_1728,CM_disc,log_abs_Delta,log_Mahler,bin
d4_43,43,4,7.996753385189766,6.829104657861956e-05,-0.0032466148102336945,1154.002564760195,7.051857843525026,1,False,False,,8.268475388982598,1.3097205597444634,mixed_S_4
d4_44,44,4,7.996754400037241,6.825829011965257e-05,-0.0032455999627591936,0.16046384078978296,0.1488197879442818,1,False,False,,9.45430563898269,1.3009146879915507,mixed_S_4
d4_45,45,4,7.996754900131051,6.824088892248232e-05,-0.003245099868949275,-7.316794329484394,2.118276883650209,-1,False,False,,10.462760424539745,1.3247704584701105,mixed_S_4
d4_46,46,4,7.996755350631969,6.821655068534612e-05,-0.0032446493680309274,-40.668506721172065,3.729745608967239,-1,False,False,,11.112850802271053,1.487037147145808,mixed_S_4
d4_47,47,4,7.996772551212929,6.770070009412557e-05,-0.003227448787071374,280.8503441140749,5.641376235438937,1,False,False,,10.009242990201992,1.2978857232590288,mixed_S_4
d4_48,48,4,7.996773110276355,6.769155071034624e-05,-0.0032268897236447103,275.3345008756567,5.621612091581263,1,False,False,,8.426830751335846,1.2932686001241618,mixed_S_4
d4_49,49,4,7.996774044674724,6.764754602399911e-05,-0.003225955325276253,-11.68281000532198,2.540247533709899,-1,False,False,,8.924789360533357,1.2835889016300557,mixed_S_4
d4_50,50,4,7.9967745255776785,6.762746176160178e-05,-0.0032254744223214615,-70.08197964478148,4.263833853838146,-1,False,False,,10.128828687393826,1.2785039414497015,mixed_S_4
d4_51,51,4,7.996775002554568,6.760682832403152e-05,-0.003224997445432365,-148.7922584673014,5.009249390624219,-1,False,False,,10.844587963318858,1.3555265313710625,mixed_S_4
d4_52,52,4,7.99679172779413,6.711188498452364e-05,-0.0032082722058701663,149.36182184000143,5.013044535142933,1,False,False,,10.936013456076378,1.377933765274969,mixed_S_4
d4_53,53,4,7.9967927351060935,6.707808859572933e-05,-0.0032072648939065473,21.518962403546215,3.1143577277671444,1,False,False,,8.714567550836485,1.2754707685309115,mixed_S_4
d4_54,54,4,7.996793687005268,6.703653637901984e-05,-0.0032063129947319524,-233.48385660209308,5.457386743734511,-1,False,False,,8.409830673087738,1.2647284322692613,mixed_S_4
d4_55,55,4,7.996794173993374,6.70173058655108e-05,-0.0032058260066261113,-311.7213223873974,5.745312450138452,-1,False,False,,9.799681383810539,1.2590494096758313,mixed_S_4
d4_56,56,4,7.996794655300895,6.699728009248424e-05,-0.0032053446991051615,-419.29622520793345,6.0409597607857135,-1,False,False,,10.573238155289678,1.253140403798242,mixed_S_4
d4_57,57,4,7.996811373942669,6.650145853732975e-05,-0.0031886260573310565,56.12974843220645,4.045324969299518,1,False,False,,10.923994145200616,1.4387869244077458,mixed_S_4
d4_58,58,4,7.996811897009732,6.64872817728389e-05,-0.003188102990267616,13.673742927083751,2.6860597011989786,1,False,False,,10.123385843685309,1.362278830805458,mixed_S_4
d4_59,59,4,7.996813332396667,6.642601337084292e-05,-0.003186667603332971,-1934.2359767891683,7.56798454985739,-1,False,False,,7.63433723562832,1.243993050051465,mixed_S_4
d4_60,60,4,7.996813814638611,6.640612024800836e-05,-0.003186185361388816,-1055.3567184829494,6.962581208817796,-1,False,False,,9.416297071867572,1.2375636079673407,mixed_S_4
