n,a_n_real
86,44506557846201125788860906780720169520402761782575250984026152402776742815712206203518482561.282139745529689259650010778201772166862163746577142484789456337854994874502246235847053729965393302713648648187083150730660678326865204290808631743427887405704870232201669951212828877650995602837707990500812639004450029322504206357822373916508054723910907749
87,1354017311325403839915388834550867586854429189250621928369716768419877597999376854947874593369.1506717168033847399380359883182725977371754479881336703850252195720526467087826020742749966256458492102147399038602960419410422858137953000032514117913694640386004173636589560512209450494332088630880969175925098890416691205189987319463881380710585061122756
88,41671546554884682734743091175489670038862953993195220068907370019287338790277935297869851784356.024147640055553870484594497223241987989503638340923515278068056998173513171232286952544826630038653235480323089318408315710014527754650972989822351089241244350184425709858839597575484830231016771586415735398945765404777036266226153779019521185307164028978
89,1297218159972697907936027043129388540482740643709832548430097412112390667032910233207303164748223.7151286110662473927781444963572219297183223765307173420756766606926787732484344514197180723089642129212664451770532683614578670194585390503189256761871816923555656096836494038373121797867717448503189237827812737951379207290289830207257574202279525419004
90,40840261656531205341534470178396566249960614663418561254619030132689508701921149721391859728075739.842138843977620120137631729802512552333550513033169358496015426605719461809782351970270446217405617879236982574800071390601763564588656621316964877559018815939517258208918286690612909053976405779167128154408175998708570848028406076889526552669620687710
91,1300203850977268641232207752111076912306600227123347096104640721802474204545359516433364281289021894.7361278653054418174125395867197022443436137630424611649210846289722101744610126278520023882681441347958383630355405002063167831942895212876646059936638315604608918717044552982159184334916170920952450513941146858276244013998313439909514439407735518482
92,41853170395826940611518620333088365042674310564520370458680325286341390994334656405329053199067471136.653077185115462921007565242108557215300663538438804943601982491658946084381068992487911550449699094335808946015820400095936138808690721672769982326428510524348630787600806853242986485595145397723623844091857652638363214349772957473084128751456522980
93,1362030920252418612077474397597209609156449054299961791155675356485713017881980708291279558608542805911.2047839388802666059518926775704538788707843366965975628996278670335986172425800655621678763362125662155599599315546642113493675288538813003828247717318503807669728421113083569536961929550642076207320842360792280018613924627554134777145574951441636
94,44805992462677657611075448799223398122811804338762912688837844388117291825124471697585769736835548296655.392656261249549722671684195951994570703160241014314240264624698509068588464721190808740699686562018333037363784281213496358331740313825837379185622507436550833736500775490672369508049542477288123854556238908378973946049365854499617175808419579804
95,1489792193814918601631143021522794142821788939590251306623457359059911295631024473195828345958663238405036.5793109971173542835762562505722564016785920619500073927715297146621285850585231659281967941681124500159148761211746539478609383764202017393183070778951978472471713491586460230957605351190201255510245163386931613990136612695465937701104985371582
96,50061831146765469112011430472367278817224962939732113218021709719194496153701737530587113296079870684263272.725929141796797440091659833287485875924225141188150492592412616994650900152033516401101602211319113179081030215673257997200010726920147227542212701628963946492153463514298753967873488650149056883772742606551434408909435005657949029014620969864
97,1699930715061983995351747177578729753909983990402590472820727006675070265395302621152098214813545184769194923.9506046772660430354463716383171765629306342093956272652060291201366444105094290944359532657185351522868685467780251142529631468079804058205475016497624534097528400942205975520166290184911837082385424662166296309167105289422820544810742968367
98,58324653234553504235346346957446376399561927240469968350248969764815356218672148589814338505894820317349828801.318181545489398041938819914501759407143866424087586600643812709463619312564292791865538543237240406534715835399107406953952514216528286326483176510506874507379049038226792587679944497203419697195864245593920768928311336460218885439086255965
99,2021731730130119122290584535177448710200185878993925138045938259732462080187103525070500516586775821813335008290.0811108773525838471746584187216286634399482786428513683294360882330495438978038528315209582967764154113221070861326587068916299967796879246702750156974256296210129504381451162203340983687351870021564935108599092977525230188273508958122887
100,70794611297611211316890004585043979407824068842906975602731707695590551450839593548418365295831088645019775921014.002776942449363129759040387124165601108552745760867569812767388484275027403509108253366381406944653279054675666019497826105459697366189150466419880306809053006948868902869879201323547252497934763723578395508435278217475064587161276504387
101,2504021123227192474925238656593704743833505681805491321798983426463796275868594995840796050340732276028401665038004.7069344885153203721674945306813406151308232875880030053330713583268680952253499918394395546563504652730831379797398412719598968159803970085095202744513092985931914415994306411740863484193353718094186080099113076890678625587434817860308
102,89452722712068056721419749714407425696148673219545322773235223335427881944493774132179696562188428000664098724561633.227117706646168174905476023353329384577083667854705980656280906004553954996672364138286170805460598493709563004946273874700411284588436398249408434427245777959632225058974033438457552624342034046027374788648614466481153482228587693971
103,3227189423346323207958429421777524099582808073895150070076783172335422645817356553980991809971749308843263146263970873.5872535162191161578569920897346691354898834881292297119571438799327736065859534427052616777509499475432903440007733594138301877724499432424570758294469458253396273099725437751137164217548254011199168083432281297364024517709851989032
