k,a_k
277,4.6091561351825153665143499994039851232313412169468532971999128688861506268570437e+455
278,5.5285358305593536084764522105918455175588145747954616290733751581713594923810592e+457
279,6.65524127049893501084926757021197269917513510115868973915580057206762842742858e+459
280,8.0403847048792955803159444259510756824798889217635807729882742498388023351533627e+461
281,9.7486307945000254816721407362764396515179087441470265050520356506964804618698138e+463
282,1.1862019889582637616881365920001210245037118283696547964756820380581186989379188e+466
283,1.4484930118460806834546680389493278716673484569596175188300885156714050249394275e+468
284,1.7750534359367396665347601404954465282807658222334807433739668264112621479044725e+470
285,2.1829224503866753213438482463116763402903338586817549514482062085514454995575674e+472
286,2.6939631325804760545146792445503837828446240811299323676648559027013007689708204e+474
287,3.3363077713251055090371991825329630410397289959470188022239002976573997082089867e+476
288,4.1462585075908841784244378118848712169189998308962993031189868492828193106980113e+478
289,5.1707933511169416164248387135545830562918472583381410674672475759531573026079386e+480
290,6.4708791610177794889688049742328593295128230227514137754827829281408416489558221e+482
291,8.1258630856364238314541410561016216308112930643415434974493022384154689366730992e+484
292,1.0239309029159345500246586278168137535214296014958805314951656967236203762443811e+487
293,1.2946775328398263325204968640471562866134314035035973791642294412926153539535416e+489
294,1.6426206971230418490206634493014784613353291962348774317844158958432271607004798e+491
295,2.0911858399714292812540794216798671826972226837078318125036093489525488587736018e+493
296,2.6712996307305946841165939231603980279068538050664970965352966495608962004030107e+495
297,3.4239090860512257465198370867763523489851266249204705978946509013836759831384926e+497
298,4.4033837388073081640620112149922980147113464944288442729779033017459699516615232e+499
299,5.6821227374986496498964414147538703179222699161227077660720716591007274531154499e+501
300,7.3568103939301580965707175366205164336001524070037494397536428535138496934056922e+503
301,9.5569328570255458473671569428071810976146321905983194099506286570388793785091915e+505
302,1.2456404435732443369281032907311591672744808236943238378654421024938649043642772e+508
303,1.6289481736649980474970635017406509800140559722640278569573802917144724620373648e+510
304,2.1372605682756812146256777747675768146207152023900338510525378116369566463145457e+512
305,2.8134460328543318602371085803833111732916366286854457816570223358725598170530818e+514
306,3.7157451140561363404079768402449893274402301239977649773671803142184262369801344e+516
307,4.9235095461465386731132732545245365117397741450981011474294447204242128047998042e+518
308,6.545164376982051704678159527614317911674744976557673015732201468251724561374848e+520
309,8.7292841172644854271947779323840063157163616159355743819770903106031343465978607e+522
310,1.1680042404830193109334344487308706627399509220723056151561666826440556056177764e+525
311,1.5678820262619234907741310228710475184664589644135374130643835529282900283894376e+527
312,2.1114509460983342968166238529263559795805132899899818500323392216065820651540346e+529
313,2.8526124530724442826774953369063293507875446581625788394804251100322530958902958e+531
314,3.8662884599759540752510752390434411206236368859757148823554798134513132819412783e+533
315,5.2569155678453934431428554305856904085155161554073545342542366560433446212714778e+535
316,7.1704863799863793851110636580352966173262535138863196436117407700438666088419008e+537
317,9.8116651192524169273040243475559943374018474774793329947727732540504362596208033e+539
318,1.3468181428876930389346620569201208655952035598754672179760924988249063913488534e+542
319,1.8545690905368109782005861431501683263725059629582200357342842084434647324168371e+544
320,2.5617727407755936601100983949925919027566082054771304356302308487188081227428976e+546
321,3.5497473136003634839078785715285716478205049096058647262511636117980129991538505e+548
322,4.9341152984094387202160906393974985395360026238945793582292965635537132649846522e+550
323,6.8797387887815910660914451078663074197461495558126496492440492038154608042857928e+552
324,9.6223514980436594979897383080474439525534953750130410579738809817112724543958655e+554
