k,a_k
298,6.3579261063869669951159883974593803056064441875061464990606486851428792728122796e+427
299,4.7362459889891787254128607219157203554204149511878020681799953675870193437368425e+429
300,3.5400402352108811990760670332516063785935821422559040884171349886073661736777368e+431
301,2.6548039719165319759236195820496033527306053491905008516784030057560893203735822e+433
302,1.9975709073004399913231714324831558551033157274246067040673289634955379471474269e+435
303,1.5080392285249679809090455162603513602243102991471347353933718691028397013490277e+437
304,1.1422442972319107875935165479952080288992866921222409733559994011085751648304871e+439
305,8.6803362765265101045632155232781993743641053741971264643206280591542923594158844e+440
306,6.6182107409542204730090817712090390006530759214690139293586318591856672204049593e+442
307,5.0625165226605349621383664722020703389587889606369570863958130243747116269227052e+444
308,3.8851652381679693569591188600302098872321515004376078022978495725644583614256232e+446
309,2.9913353543780006268371043180599872348444324931426913691142057606095487411917593e+448
310,2.3106209256859298685552424809247677989267826062890318473953160836771200434030935e+450
311,1.7905882830446288873260839749580451290746454704583365948833137525185704554053095e+452
312,1.3920719771326186689662889828024685090793119097538167256869823500979355859727718e+454
313,1.0857305751123152983263942658987873975847248230179819198237121247367026203889318e+456
314,8.4951764894063417956681363989419263636492060617710256225537282515016464578810228e+457
315,6.668194658534092578913225555522109155290317271204748919698156395499327234004967e+459
316,5.2507972794270582045300703437078517738519523910339208891137371154565194519044104e+461
317,4.1478111404333512626848877168021664267266140855261793884748147449217829684031823e+463
318,3.2868893528812050234857598882313967451980135334262658579776024786442317660419814e+465
319,2.6128787712130735747299169792232930239382810202201407888624983441094644378639306e+467
320,2.083613700795974813681187732330621921311318569126569502653234509459906485207478e+469
321,1.6667660549712247560457213324261483957608643660499486941466016953409764094626838e+471
322,1.3374801501243881122660333197512274358181951196388351644289050670415859615013187e+473
323,1.0765918362651051814475697888622198587693808848299910120490474832964169899187633e+475
324,8.6928396298427276629538416396487937723850025903184972300019987815424479092757309e+476
325,7.0406853611765589842163173938647655134907412081929456864562832622547600522843243e+478
326,5.7201412175759935283835884432919776374358124728765500743491178211590453755802677e+480
327,4.6615784359940427036844995428069508358823216946478985185391956360066594411951898e+482
328,3.8105668468457544042086451217734603969906285067679965983109420810878960323539823e+484
329,3.1244418989214742457643586387781843312860678967660125111592150793418343519976457e+486
330,2.5696712341699015061160681251273590403571676712449354688918269605274393099330577e+488
331,2.1198293461464226634190883266402026825692003225620452255501583625171222938924835e+490
332,1.7540358881194943897308757598501265365601310095434081324102841612979030865881136e+492
333,1.4557484012190285519143522035520327057761503925525188353907463814155528672272069e+494
334,1.211826649739898388413652705650850585427140103580804551761982291869244112728321e+496
335,1.0118056224087289451008899964578804598784668250205934169157645133207751111670425e+498
336,8.4732924344719253031954021806528089702504877330276602316898618417480942275555868e+499
337,7.1170816491302967125307124506593738407296057263390059614366619457537927297216869e+501
338,5.9957359550430475847468518925935973891005764933963842735833686020613824277126879e+503
339,5.0660564113102777628353015072987035122547282254638380007607726845113157220526808e+505
340,4.2931959705245493637745170892847179315374767023228718925964834968166592394024014e+507
341,3.6489742039302780062355965422947515044475381811121168532725718678178877236684928e+509
342,3.1105451054368288528581095040575066630021796019100676138787014835602618008032284e+511
343,2.6593414773367091715724063323199188213431127095506304366555698204522412112369338e+513
344,2.2802364850214844936727485709144951039237993204762627356849084461730127775200659e+515
345,1.9608761296024902960695040511009466176165602654903687123580119059821485150127494e+517
346,1.6911465501653995899804709144056812927680003903062024941868885557444959353910881e+519
347,1.4627479325779642193116564223659976136623402941164256826333619370249125869083988e+521
348,1.2688529025717494563547345581684979020371970990649343057040376562375569283780508e+523
349,1.1038320236785264149224257128580625935700571959579695996291340089502080536349172e+525
350,9.6303271601007426018811707782662142358568977462505901007711000339447159005783752e+526
351,8.4260079753717628926832881979482028962155179605983247999769856016388218955319971e+528
352,7.393361078395834118402485243159913554878969979535758867856650620753423746997168e+530
353,6.5057544551199260683748614352822989596631433716622084560020419029637036144199372e+532
354,5.7409744259830460121865591619253877885574461538521518118120872071514286020937631e+534
355,5.0804509605115744456865327173970928321863511140486494510828140002091425818814406e+536
356,4.5086254186908629184882316730070228831247531665713065848749932443965668318946216e+538
357,4.0124334234444801061396786558443507811039796608518288599014577960992080428506613e+540
358,3.5808809969377207491718620786377230216407489081707860759738350384859193687446366e+542
359,3.2046964055860693842197944870787654893581584331978193136442623323358964886914397e+544
